ward_id,year_month,predicted_density
E05009388,2024-10,7.5966134
E05009388,2024-11,7.5784035
E05009388,2024-12,7.950371
E05009388,2025-01,7.0800037
E05009388,2025-02,6.82949
E05009389,2024-08,8.778315
E05009389,2024-09,7.9703164
E05009389,2024-10,8.471367
E05009389,2024-11,8.959214
E05009389,2024-12,8.797143
E05009389,2025-01,9.010266
E05009389,2025-02,9.010067
E05009390,2024-08,7.3396864
E05009390,2024-09,7.0472865
E05009390,2024-10,7.0346603
E05009390,2024-11,7.422237
E05009390,2024-12,7.42345
E05009390,2025-01,7.4783964
E05009390,2025-02,6.9971523
E05009391,2024-08,7.8711367
E05009391,2024-09,6.8154755
E05009391,2024-10,7.1414924
E05009391,2024-11,6.797771
E05009391,2024-12,7.0898304
E05009391,2025-01,6.1844535
E05009391,2025-02,6.7788873
E05009392,2024-08,17.180296
E05009392,2024-09,17.537645
E05009392,2024-10,18.319801
E05009392,2024-11,16.425154
E05009392,2024-12,16.75765
E05009392,2025-01,19.30906
E05009392,2025-02,17.662468
E05009393,2024-08,11.748616
E05009393,2024-09,11.384247
E05009393,2024-10,11.208908
E05009393,2024-11,11.409535
E05009393,2024-12,11.649234
E05009393,2025-01,11.923691
E05009393,2025-02,11.597514
E05009394,2024-08,3.2029748
E05009394,2024-09,3.7461958
E05009394,2024-10,4.2147346
E05009394,2024-11,4.6530023
E05009394,2024-12,4.7645125
E05009394,2025-01,4.5287757
E05009394,2025-02,4.404847
E05009395,2024-08,17.99962
E05009395,2024-09,19.90173
E05009395,2024-10,17.964869
E05009395,2024-11,18.515358
E05009395,2024-12,20.473928
E05009395,2025-01,21.353254
E05009395,2025-02,23.538597
E05009396,2024-08,12.205294
E05009396,2024-09,13.05669
E05009396,2024-10,12.12972
E05009396,2024-11,12.347404
E05009396,2024-12,12.587102
E05009396,2025-01,12.974937
E05009396,2025-02,12.683091
E05009397,2024-08,5.3482323
E05009397,2024-09,6.023081
E05009397,2024-10,6.1477222
E05009397,2024-11,6.6336093
E05009397,2024-12,5.948619
E05009397,2025-01,5.7125716
E05009397,2025-02,6.0683465
E05009398,2024-08,9.974056
E05009398,2024-09,10.026262
E05009398,2024-10,9.881558
E05009398,2024-11,10.519345
E05009398,2024-12,10.553956
E05009398,2025-01,12.915194
E05009398,2025-02,11.339128
E05009399,2024-08,6.4726553
E05009399,2024-09,6.302132
E05009399,2024-10,6.403212
E05009399,2024-11,6.611784
E05009399,2024-12,6.2722716
E05009399,2025-01,6.214395
E05009399,2025-02,6.626927
E05009400,2024-08,12.33312
E05009400,2024-09,12.413769
E05009400,2024-10,12.59218
E05009400,2024-11,12.890991
E05009400,2024-12,13.025878
E05009400,2025-01,13.596194
E05009400,2025-02,14.329126
E05009401,2024-08,9.222078
E05009401,2024-09,8.504977
E05009401,2024-10,9.440524
E05009401,2024-11,8.492602
E05009401,2024-12,8.632978
E05009401,2025-01,9.371936
E05009401,2025-02,9.509338
E05009402,2024-08,11.707462
E05009402,2024-09,10.70548
E05009402,2024-10,11.296751
E05009402,2024-11,10.947057
E05009402,2024-12,11.813462
E05009402,2025-01,12.03056
E05009402,2025-02,11.924945
E05009403,2024-08,5.47399
E05009403,2024-09,5.493356
E05009403,2024-10,5.524431
E05009403,2024-11,5.2961597
E05009403,2024-12,5.4549212
E05009403,2025-01,5.4928
E05009403,2025-02,5.43162
E05009404,2024-08,9.30677
E05009404,2024-09,8.978889
E05009404,2024-10,8.912946
E05009404,2024-11,9.480678
E05009404,2024-12,8.531463
E05009404,2025-01,8.017354
E05009404,2025-02,9.26929
E05009405,2024-08,11.606702
E05009405,2024-09,11.381669
E05009405,2024-10,9.325007
E05009405,2024-11,9.775661
E05009405,2024-12,10.414044
E05009405,2025-01,10.548073
E05009405,2025-02,10.183291
E05011095,2024-08,14.366783
E05011095,2024-09,13.327677
E05011095,2024-10,12.164509
E05011095,2024-11,13.274867
E05011095,2024-12,14.325552
E05011095,2025-01,13.63116
E05011095,2025-02,12.684504
E05011096,2024-08,6.420803
E05011096,2024-09,6.420803
E05011096,2024-10,7.223563
E05011096,2024-11,7.3052764
E05011096,2024-12,7.17301
E05011096,2025-01,7.6573586
E05011096,2025-02,7.554454
E05011097,2024-08,1.8780912
E05011097,2024-09,1.991348
E05011097,2024-10,1.921702
E05011097,2024-11,1.921702
E05011097,2024-12,2.1552913
E05011097,2025-01,2.3031013
E05011097,2025-02,2.0831244
E05011098,2024-08,15.74926
E05011098,2024-09,16.17143
E05011098,2024-10,14.75697
E05011098,2024-11,14.896594
